path,value
000000,8.0
000001,9.0
000002,6.0
000010,9.0
000011,10.0
000012,7.0
000020,9.0
000021,10.0
000022,7.0
000100,7.0
000101,8.0
000102,6.0
000110,8.0
000111,9.0
000112,7.0
000120,7.0
000121,8.0
000122,6.0
000200,8.0
000201,9.0
000202,8.0
000210,8.0
000211,9.0
000212,8.0
000220,8.0
000221,9.0
000222,8.0
001000,8.0
001001,8.0
001002,6.0
001010,9.0
001011,9.0
001012,7.0
001020,9.0
001021,9.0
001022,7.0
001100,7.0
001101,7.0
001102,6.0
001110,8.0
001111,8.0
001112,7.0
001120,7.0
001121,7.0
001122,6.0
001200,8.0
001201,8.0
001202,8.0
001210,8.0
001211,8.0
001212,8.0
001220,8.0
001221,8.0
001222,8.0
002000,10.0
002001,9.0
002002,8.0
002010,11.0
002011,10.0
002012,9.0
002020,11.0
002021,10.0
002022,9.0
002100,9.0
002101,8.0
002102,8.0
002110,10.0
002111,9.0
002112,9.0
002120,9.0
002121,8.0
002122,8.0
002200,10.0
002201,9.0
002202,10.0
002210,10.0
002211,9.0
002212,10.0
002220,10.0
002221,9.0
002222,10.0
010000,7.0
010001,9.0
010002,7.0
010010,8.0
010011,10.0
010012,8.0
010020,9.0
010021,11.0
010022,9.0
010100,7.0
010101,9.0
010102,8.0
010110,8.0
010111,10.0
010112,9.0
010120,8.0
010121,10.0
010122,9.0
010200,8.0
010201,10.0
010202,10.0
010210,8.0
010211,10.0
010212,10.0
010220,9.0
010221,11.0
010222,11.0
011000,6.0
011001,7.0
011002,6.0
011010,7.0
011011,8.0
011012,7.0
011020,8.0
011021,9.0
011022,8.0
011100,6.0
011101,7.0
011102,7.0
011110,7.0
011111,8.0
011112,8.0
011120,7.0
011121,8.0
011122,8.0
011200,7.0
011201,8.0
011202,9.0
011210,7.0
011211,8.0
011212,9.0
011220,8.0
011221,9.0
011222,10.0
012000,8.0
012001,8.0
012002,8.0
012010,9.0
012011,9.0
012012,9.0
012020,10.0
012021,10.0
012022,10.0
012100,8.0
012101,8.0
012102,9.0
012110,9.0
012111,9.0
012112,10.0
012120,9.0
012121,9.0
012122,10.0
012200,9.0
012201,9.0
012202,11.0
012210,9.0
012211,9.0
012212,11.0
012220,10.0
012221,10.0
012222,12.0
020000,8.0
020001,10.0
020002,8.0
020010,8.0
020011,10.0
020012,8.0
020020,9.0
020021,11.0
020022,9.0
020100,8.0
020101,10.0
020102,9.0
020110,8.0
020111,10.0
020112,9.0
020120,8.0
020121,10.0
020122,9.0
020200,8.0
020201,10.0
020202,10.0
020210,7.0
020211,9.0
020212,9.0
020220,8.0
020221,10.0
020222,10.0
021000,8.0
021001,9.0
021002,8.0
021010,8.0
021011,9.0
021012,8.0
021020,9.0
021021,10.0
021022,9.0
021100,8.0
021101,9.0
021102,9.0
021110,8.0
021111,9.0
021112,9.0
021120,8.0
021121,9.0
021122,9.0
021200,8.0
021201,9.0
021202,10.0
021210,7.0
021211,8.0
021212,9.0
021220,8.0
021221,9.0
021222,10.0
022000,9.0
022001,9.0
022002,9.0
022010,9.0
022011,9.0
022012,9.0
022020,10.0
022021,10.0
022022,10.0
022100,9.0
022101,9.0
022102,10.0
022110,9.0
022111,9.0
022112,10.0
022120,9.0
022121,9.0
022122,10.0
022200,9.0
022201,9.0
022202,11.0
022210,8.0
022211,8.0
022212,10.0
022220,9.0
022221,9.0
022222,11.0
100000,5.0
100001,7.0
100002,3.0
100010,7.0
100011,9.0
100012,5.0
100020,6.0
100021,8.0
100022,4.0
100100,6.0
100101,8.0
100102,5.0
100110,8.0
100111,10.0
100112,7.0
100120,6.0
100121,8.0
100122,5.0
100200,6.0
100201,8.0
100202,6.0
100210,7.0
100211,9.0
100212,7.0
100220,6.0
100221,8.0
100222,6.0
101000,5.0
101001,6.0
101002,3.0
101010,7.0
101011,8.0
101012,5.0
101020,6.0
101021,7.0
101022,4.0
101100,6.0
101101,7.0
101102,5.0
101110,8.0
101111,9.0
101112,7.0
101120,6.0
101121,7.0
101122,5.0
101200,6.0
101201,7.0
101202,6.0
101210,7.0
101211,8.0
101212,7.0
101220,6.0
101221,7.0
101222,6.0
102000,7.0
102001,7.0
102002,5.0
